2022-06-16 11:26:05,363 CRITICAL client_log.py Критическая ошибка
2022-06-16 11:26:05,363 ERROR    client_log.py Ошибка
2022-06-16 11:26:05,364 DEBUG    client_log.py Отладочная информация
2022-06-16 11:26:05,364 INFO     client_log.py Информационное сообщение
2022-06-20 19:58:40,011 DEBUG    decos.py Была вызвана функция create_arg_parser c параметрами (), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-06-20 19:58:40,011 INFO     client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1 , порт: 7777
2022-06-20 19:58:40,011 CRITICAL client.py Не удалось подключиться к серверу 127.0.0.1:7777, конечный компьютер отверг запрос на подключение.
2022-06-20 19:58:54,918 DEBUG    decos.py Была вызвана функция create_arg_parser c параметрами (), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-06-20 19:58:54,918 INFO     client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1 , порт: 7777
2022-06-20 19:58:54,918 CRITICAL client.py Не удалось подключиться к серверу 127.0.0.1:7777, конечный компьютер отверг запрос на подключение.
2022-06-20 20:00:27,152 DEBUG    decos.py Была вызвана функция create_arg_parser c параметрами (), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-06-20 20:00:27,153 INFO     client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1 , порт: 7777
2022-06-20 20:00:27,153 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-06-20 20:00:27,153 DEBUG    decos.py Была вызвана функция create_presence c параметрами (), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-06-20 20:00:27,154 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-06-20 20:00:27,155 DEBUG    decos.py Была вызвана функция process_ans c параметрами ({'response': 200},), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-06-20 20:00:27,155 INFO     client.py Принят ответ от сервера 200 : OK
2022-06-22 23:16:11,460 DEBUG    decos.py Была вызвана функция create_arg_parser c параметрами (), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-06-22 23:16:11,828 DEBUG    decos.py Была вызвана функция create_arg_parser c параметрами (), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-06-22 23:16:12,095 DEBUG    decos.py Была вызвана функция create_arg_parser c параметрами (), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-06-22 23:16:12,370 DEBUG    decos.py Была вызвана функция create_arg_parser c параметрами (), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-06-22 23:16:22,556 DEBUG    decos.py Была вызвана функция arg_parser c параметрами (), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client_send.py
2022-06-22 23:16:22,557 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2022-06-22 23:16:22,557 DEBUG    client_send.py Сформировано presence сообщение для пользователя Guest
2022-06-22 23:16:22,557 DEBUG    decos.py Была вызвана функция create_presence c параметрами (), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client_send.py
2022-06-22 23:16:22,557 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53838), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1655921782.5573483, 'user': {'account_name': 'Guest'}}), {}.Вызов из модуля common.utils.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client_send.py
2022-06-22 23:16:22,595 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53838), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client_send.py
2022-06-22 23:16:22,596 DEBUG    client_send.py Разбор приветственного сообщения от сервера: {'response': 200}
